MatchID,TEAMID,COUNTRY,SEASON,MATCHDATE,TEAMID,TEAMAVG,TEAMMAX,TEAMMIN
1158,1,1, u'2012/2013', u'2013-02-24 00:00:00',9985,25,29,19
1158,1,1, u'2012/2013', u'2013-02-24 00:00:00',9987,24,30,19
1159,1,1, u'2012/2013', u'2013-02-23 00:00:00',9991,26,34,21
1159,1,1, u'2012/2013', u'2013-02-23 00:00:00',9984,26,34,20
1160,1,1, u'2012/2013', u'2013-02-23 00:00:00',9993,23,30,18
1160,1,1, u'2012/2013', u'2013-02-23 00:00:00',9989,26,29,21
1161,1,1, u'2012/2013', u'2013-03-03 00:00:00',9986,26,29,22
1161,1,1, u'2012/2013', u'2013-03-03 00:00:00',10000,25,32,18
1162,1,1, u'2012/2013', u'2013-02-23 00:00:00',8571,27,31,22
1162,1,1, u'2012/2013', u'2013-02-23 00:00:00',9998,28,31,19
1163,1,1, u'2012/2013', u'2013-02-23 00:00:00',8203,26,33,19
1163,1,1, u'2012/2013', u'2013-02-23 00:00:00',1773,26,32,20
1164,1,1, u'2012/2013', u'2013-02-23 00:00:00',8475,27,34,20
1164,1,1, u'2012/2013', u'2013-02-23 00:00:00',9994,28,33,20
1165,1,1, u'2012/2013', u'2013-03-09 00:00:00',8635,27,32,18
1165,1,1, u'2012/2013', u'2013-03-09 00:00:00',8203,26,33,19
1166,1,1, u'2012/2013', u'2013-03-09 00:00:00',9987,25,32,19
1166,1,1, u'2012/2013', u'2013-03-09 00:00:00',9991,25,30,19
1167,1,1, u'2012/2013', u'2013-03-09 00:00:00',10000,26,32,18
1167,1,1, u'2012/2013', u'2013-03-09 00:00:00',8342,26,34,20
1168,1,1, u'2012/2013', u'2013-03-09 00:00:00',1773,27,33,22
1168,1,1, u'2012/2013', u'2013-03-09 00:00:00',9985,24,29,19
1169,1,1, u'2012/2013', u'2013-03-09 00:00:00',9994,28,33,20
1169,1,1, u'2012/2013', u'2013-03-09 00:00:00',9986,24,29,19
1170,1,1, u'2012/2013', u'2013-03-09 00:00:00',9989,26,29,19
1170,1,1, u'2012/2013', u'2013-03-09 00:00:00',8571,25,31,21
1171,1,1, u'2012/2013', u'2013-03-09 00:00:00',8475,27,34,20
1171,1,1, u'2012/2013', u'2013-03-09 00:00:00',9993,25,30,18
1172,1,1, u'2012/2013', u'2013-03-09 00:00:00',9984,26,35,20
